,word,word_freq,doc_freq,group_freq
0,atheist,371,215,8
1,resources,404,235,20
2,addresses,223,154,19
3,organizations,265,188,17
4,usa,764,542,20
5,freedom,661,422,17
6,religion,1210,642,17
7,foundation,209,133,17
8,darwin,35,28,6
9,fish,106,77,17
10,bumper,51,46,10
11,stickers,30,26,9
12,assorted,22,18,10
13,paraphernalia,4,4,3
14,write,1004,747,20
15,ffrf,2,2,1
16,box,1168,838,20
17,madison,65,38,12
18,wi,48,47,13
19,telephone,316,213,19
20,evolution,326,131,12
21,designs,94,79,16
22,sell,756,594,20
23,symbol,85,51,11
24,christians,993,504,8
25,stick,344,272,20
26,cars,696,410,15
27,feet,292,225,19
28,word,1495,941,20
29,written,796,546,20
30,inside,599,465,20
31,deluxe,53,47,8
32,moulded,4,4,2
33,plastic,191,115,17
34,postpaid,5,5,4
35,laurel,10,10,7
36,canyon,24,22,6
37,north,477,359,20
38,hollywood,29,22,9
39,people,10093,4500,20
40,san,694,355,20
41,francisco,254,132,20
42,bay,222,166,18
43,lynn,34,26,10
44,gold,156,113,19
45,mailing,385,224,20
46,net,1039,803,20
47,directly,589,518,20
48,price,1339,853,20
49,american,1285,743,20
50,press,881,530,20
51,aap,15,12,2
52,publish,84,66,16
53,books,848,514,20
54,critiques,9,7,4
55,bible,1268,556,13
56,lists,257,164,20
57,biblical,251,169,7
58,contradictions,58,35,5
59,book,1559,863,20
60,handbook,74,60,13
61,ball,316,209,20
62,foote,8,6,4
63,isbn,118,51,13
64,edition,226,147,19
65,absurdities,27,26,2
66,atrocities,83,67,6
67,contradicts,42,40,10
68,based,1454,987,20
69,king,450,297,19
70,james,592,424,20
71,version,1739,841,20
72,austin,153,124,19
73,tx,179,167,18
74,cameron,17,13,6
75,road,682,504,20
76,fax,1267,949,20
77,prometheus,13,4,2
78,haught,4,2,1
79,including,1185,859,20
80,holy,394,206,14
81,horrors,30,26,10
82,east,463,342,19
83,amherst,18,15,11
84,street,497,359,20
85,buffalo,206,113,14
86,york,721,452,20
87,alternate,56,52,14
88,address,1244,787,20
89,glenn,78,65,15
90,drive,2424,1121,20
91,ny,367,268,20
92,african-americans,10,7,4
93,humanism,16,8,5
94,organization,673,517,20
95,promoting,51,45,11
96,black,988,606,20
97,secular,134,70,5
98,uncovering,8,8,5
99,history,1169,739,19
100,freethought,5,3,1
101,quarterly,42,35,12
102,newsletter,193,56,15
103,aah,2,2,1
104,examiner,36,27,8
105,norm,63,53,13
106,allen,182,149,18
107,african,92,46,12
108,americans,458,263,15
109,united,756,389,20
110,kingdom,221,139,13
111,rationalist,4,4,2
112,association,245,165,19
113,national,1302,742,20
114,society,866,517,19
115,islington,2,2,1
116,holloway,6,6,2
117,london,198,123,19
118,british,379,238,18
119,humanist,20,15,5
120,south,436,274,20
121,ethical,79,59,11
122,lamb,51,41,10
123,conduit,25,11,6
