,word,word_freq,doc_freq,group_freq
0,atheist,371,215,8
1,resources,404,235,20
2,addresses,223,154,19
3,of,112965,16354,20
4,organizations,265,188,17
5,usa,764,542,20
6,freedom,661,422,17
7,from,18686,7955,20
8,religion,1210,642,17
9,foundation,209,133,17
10,darwin,35,28,6
11,fish,106,77,17
12,bumper,51,46,10
13,stickers,30,26,9
14,and,98526,16298,20
15,assorted,22,18,10
16,other,8850,4934,20
17,paraphernalia,4,4,3
18,are,31554,10413,20
19,available,2533,1304,20
20,the,249509,18422,20
21,in,74733,15431,20
22,us,4730,2508,20
23,write,1004,747,20
24,to,125319,17268,20
25,ffrf,2,2,1
26,box,1168,838,20
27,madison,65,38,12
28,wi,48,47,13
29,telephone,316,213,19
30,evolution,326,131,12
31,designs,94,79,16
32,it,56904,14063,20
33,sell,756,594,20
34,a,103674,17165,20
35,symbol,85,51,11
36,like,9878,6142,20
37,ones,797,659,20
38,christians,993,504,8
39,stick,344,272,20
40,on,32899,11546,20
41,their,9660,4440,20
42,cars,696,410,15
43,but,22686,10114,20
44,with,29302,10866,20
45,feet,292,225,19
46,word,1495,941,20
47,written,796,546,20
48,inside,599,465,20
49,deluxe,53,47,8
50,moulded,4,4,2
51,plastic,191,115,17
52,is,72812,14959,20
53,postpaid,5,5,4
54,laurel,10,10,7
55,canyon,24,22,6
56,north,477,359,20
57,hollywood,29,22,9
58,ca,772,514,20
59,people,10093,4500,20
60,san,694,355,20
61,francisco,254,132,20
62,bay,222,166,18
63,area,1081,806,20
64,can,16288,7932,20
65,get,8441,5210,20
66,lynn,34,26,10
67,gold,156,113,19
68,try,2182,1722,20
69,mailing,385,224,20
70,for,46151,13849,20
71,net,1039,803,20
72,who,11432,5427,20
73,go,3971,2693,20
74,directly,589,518,20
75,price,1339,853,20
76,per,876,548,20
77,american,1285,743,20
78,press,881,530,20
79,aap,15,12,2
80,publish,84,66,16
81,various,752,555,20
82,books,848,514,20
83,critiques,9,7,4
84,bible,1268,556,13
85,lists,257,164,20
86,biblical,251,169,7
87,contradictions,58,35,5
88,so,12847,7109,20
89,one,15085,7429,20
90,such,4726,2910,20
91,book,1559,863,20
92,handbook,74,60,13
93,by,18562,7318,20
94,ball,316,209,20
95,foote,8,6,4
96,pp,350,123,16
97,isbn,118,51,13
98,edition,226,147,19
99,absurdities,27,26,2
100,atrocities,83,67,6
101,contains,469,289,20
102,contradicts,42,40,10
103,itself,871,696,20
104,based,1454,987,20
105,king,450,297,19
106,james,592,424,20
107,version,1739,841,20
108,austin,153,124,19
109,tx,179,167,18
110,or,25181,10104,20
111,cameron,17,13,6
112,road,682,504,20
113,fax,1267,949,20
114,prometheus,13,4,2
115,haught,4,2,1
116,including,1185,859,20
117,holy,394,206,14
118,horrors,30,26,10
119,see,5450,3403,20
120,below,599,468,20
121,east,463,342,19
122,amherst,18,15,11
