,stop_word
0,youd
1,fully
2,aren
3,that
4,all
5,showns
6,that've
7,nearly
8,towards
9,which
10,selves
11,besides
12,hundred
13,regarding
14,or
15,third
16,various
17,slightly
18,inner
19,there'll
20,some
21,ended
22,unlike
23,usually
24,therefore
25,widely
26,began
27,just
28,place
29,l
30,potentially
31,again
32,couldnt
33,took
34,nay
35,furthers
36,nine
37,backing
38,highest
39,significantly
40,presumably
41,away
42,et-al
43,hardly
44,am
45,liked
46,are
47,needing
48,at
49,since
50,b
51,et
52,interest
53,allows
54,appreciate
55,what
56,meantime
57,would
58,downing
59,younger
60,specified
61,name
62,theyre
63,part
64,probably
65,years
66,unlikely
67,that'll
68,looks
69,unless
70,therein
71,and
72,heres
73,up
74,you've
75,line
76,beginning
77,regardless
78,otherwise
79,makes
80,unto
81,novel
82,kept
83,largely
84,thousand
85,okay
86,opens
87,soon
88,anyways
89,way
90,don't
91,opened
92,within
93,un
94,newer
95,weren't
96,much
97,higher
98,sec
99,'ve
100,accordingly
101,thoughts
102,noone
103,turn
104,hasn't
105,respectively
106,accordance
107,cant
108,despite
109,may
110,proud
111,everywhere
112,com
113,downwards
114,q
115,substantially
116,was
117,wouldn't
118,where's
119,beforehand
120,great
121,here
122,used
123,this
124,else
125,i'd
126,reasonably
127,any
128,differ
129,especially
130,thorough
131,etc
132,from
133,it
134,million
135,they
136,like
137,those
138,faces
139,stop
140,anymore
141,exactly
142,four
143,turning
144,think
145,related
146,latter
147,announce
148,theirs
149,together
150,over
151,get
152,currently
153,me
154,shes
155,quickly
156,numbers
157,felt
158,fact
159,recently
160,ZT
161,ask
162,appropriate
163,sub
164,end
165,id
166,use
167,t's
168,tries
169,it's
170,section
171,yourselves
172,corresponding
173,seeming
174,cases
175,on
176,followed
177,themselves
178,whos
179,formerly
180,whom
181,early
182,did
183,two
184,que
185,what's
186,mr
187,becomes
188,contain
189,in
190,non
191,til
192,itself
193,sorry
194,kg
195,abst
196,furthering
197,km
198,nd
199,here's
200,once
201,year
202,maybe
203,poorly
204,they're
205,ending
206,never
207,they've
208,not
209,alone
210,containing
211,herself
212,affects
213,c's
214,one
215,d
216,affecting
217,particularly
218,he's
219,shed
220,ca
221,them
222,willing
223,afterwards
224,edu
225,longer
226,if
227,results
228,somebody
229,being
230,got
231,it'd
232,awfully
233,eg
234,sides
235,second
236,we'd
237,either
238,na
239,wonder
240,f
241,apart
242,backs
243,nobody
244,tried
245,ups
246,zz
